Name	Symbol
"Dyssegmental dysplasia, Silverman-Handmaker type"	HSPG2
Schimke immuno-osseous dysplasia	SMARCAL1
Ghosal hematodiaphyseal dysplasia	TBXAS1
Isolated hemihyperplasia	IGF2
Isolated hemihyperplasia	H19
Isolated hemihyperplasia	KCNQ1OT1
Hennekam syndrome	CCBE1
Hennekam syndrome	FAT4
Hennekam syndrome	ADAMTS3
"46,XX ovotesticular difference of sex development"	SOX9
"46,XX ovotesticular difference of sex development"	SRY
"46,XX ovotesticular difference of sex development"	NR5A1
Donnai-Barrow syndrome	LRP2
Lissencephaly type 1 due to doublecortin gene mutation	DCX
Hallermann-Streiff syndrome	CHD6
"Hip dysplasia, Beukes type"	UFSP2
Hartsfield syndrome	FGFR1
Gordon syndrome	PIEZO2
Focal dermal hypoplasia	PORCN
"Acromesomelic dysplasia, Grebe type"	BMPR1B
"Acromesomelic dysplasia, Grebe type"	GDF5
Greig cephalopolysyndactyly syndrome	GLI3
Gorlin-Chaudhry-Moss syndrome	SLC25A24
Sea-blue histiocytosis	APOE
Neuroferritinopathy	FTL
GAPO syndrome	ANTXR1
Galloway-Mowat syndrome	OSGEP
Galloway-Mowat syndrome	TP53RK
Galloway-Mowat syndrome	WDR73
Galloway-Mowat syndrome	NUP107
Galloway-Mowat syndrome	TPRKB
Galloway-Mowat syndrome	LAGE3
Galloway-Mowat syndrome	WDR4
Galloway-Mowat syndrome	GON7
Galloway-Mowat syndrome	NUP133
Galloway-Mowat syndrome	YRDC
Huntington disease-like 1	PRNP
Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome	GBA1
ANE syndrome	RBM28
"Oculoauricular syndrome, Schorderet type"	HMX1
Geroderma osteodysplastica	GORAB
Geroderma osteodysplastica	PYCR1
Combined immunodeficiency with granulomatosis	INO80
Combined immunodeficiency with granulomatosis	RAG1
Combined immunodeficiency with granulomatosis	RAG2
Congenital muscular dystrophy due to LMNA mutation	LMNA
Glaucoma-ectopia lentis-microspherophakia-stiff joints-short stature syndrome	FBN1
SLC39A13-related spondylodysplastic Ehlers-Danlos syndrome	SLC39A13
Frontometaphyseal dysplasia	MAP3K7
Frontometaphyseal dysplasia	FLNA
Cole-Carpenter syndrome	P4HB
Cole-Carpenter syndrome	SEC24D
Cole-Carpenter syndrome	CRTAP
Fryns syndrome	PIGN
Gingival fibromatosis-hypertrichosis syndrome	ABCA5
Juvenile hyaline fibromatosis	ANTXR2
Fibrochondrogenesis	COL11A1
Fibrochondrogenesis	COL11A2
Hereditary gingival fibromatosis	GINGF2
Hereditary gingival fibromatosis	SOS1
Hereditary gingival fibromatosis	REST
Floating-Harbor syndrome	SRCAP
Scalp-ear-nipple syndrome	KCTD1
Plaque-form urticaria pigmentosa	KIT
Typical urticaria pigmentosa	KIT
Lethal acantholytic erosive disorder	DSP
Lethal acantholytic erosive disorder	JUP
Epidermolysis bullosa simplex with pyloric atresia	PLEC
Epidermolysis bullosa simplex with pyloric atresia	ITGB4
Epidermolysis bullosa simplex with circinate migratory erythema	KRT5
"Localized dystrophic epidermolysis bullosa, nails only"	COL7A1
"Localized dystrophic epidermolysis bullosa, acral form"	COL7A1
Ectodermal dysplasia-skin fragility syndrome	PKP1
Isolated bone marrow mastocytosis	KIT
Smoldering systemic mastocytosis	KIT
Nodular urticaria pigmentosa	KIT
Gollop-Wolfgang complex	BHLHA9
Bilateral striopallidodentate calcinosis	JAM2
Bilateral striopallidodentate calcinosis	MYORG
Bilateral striopallidodentate calcinosis	PDGFRB
Bilateral striopallidodentate calcinosis	PDGFB
Bilateral striopallidodentate calcinosis	SLC20A2
Bilateral striopallidodentate calcinosis	XPR1
Blepharo-cheilo-odontic syndrome	CTNND1
Blepharo-cheilo-odontic syndrome	CDH1
"Familial partial lipodystrophy, Dunnigan type"	LMNA
Müllerian aplasia and hyperandrogenism	WNT4
Schilbach-Rott syndrome	PTCH1
FTH1-related iron overload	FTH1
MUTYH-related attenuated familial adenomatous polyposis	MUTYH
Juvenile cataract-microcornea-renal glucosuria syndrome	SLC16A12
Autosomal recessive ataxia due to PEX10 deficiency	PEX10
APC-related attenuated familial adenomatous polyposis	APC
Lacrimoauriculodentodigital syndrome	FGF10
Lacrimoauriculodentodigital syndrome	FGFR3
Lacrimoauriculodentodigital syndrome	FGFR2
Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations	TREX1
Keratosis follicularis spinulosa decalvans	MBTPS2
Keratosis follicularis spinulosa decalvans	SAT1
Keratosis follicularis spinulosa decalvans	LRP1
Odontohypophosphatasia	ALPL
Haim-Munk syndrome	CTSC
Multiple endocrine neoplasia type 2B	RET
Multiple endocrine neoplasia type 2A	RET
Kniest dysplasia	COL2A1
Citrullinemia type II	SLC25A13
Neonatal intrahepatic cholestasis due to citrin deficiency	SLC25A13
KBG syndrome	ANKRD11
Juvenile primary lateral sclerosis	ALS2
Juvenile primary lateral sclerosis	ERLIN2
Perinatal lethal hypophosphatasia	ALPL
Prenatal benign hypophosphatasia	ALPL
"Diffuse palmoplantar keratoderma, Bothnian type"	AQP5
Infantile hypophosphatasia	ALPL
Childhood-onset hypophosphatasia	ALPL
Adult hypophosphatasia	ALPL
Keratoderma hereditarium mutilans	GJB2
Kabuki syndrome	KMT2D
Kabuki syndrome	KDM6A
Autosomal recessive secondary polycythemia not associated with VHL gene	BPGM
Autosomal dominant secondary polycythemia	EPO
Autosomal dominant secondary polycythemia	EGLN1
Autosomal dominant secondary polycythemia	EPAS1
Autosomal dominant secondary polycythemia	HBA1
Autosomal dominant secondary polycythemia	HBA2
Autosomal dominant secondary polycythemia	HBB
Sanjad-Sakati syndrome	TBCE
Primary ciliary dyskinesia-retinitis pigmentosa syndrome	RPGR
Acute neonatal citrullinemia type I	ASS1
Late-onset citrullinemia type I	ASS1
Laryngo-onycho-cutaneous syndrome	LAMA3
Familial hypodysfibrinogenemia	FGA
Familial hypodysfibrinogenemia	FGB
Familial hypodysfibrinogenemia	FGG
Encephalocraniocutaneous lipomatosis	FGFR1
Encephalocraniocutaneous lipomatosis	KRAS
Isolated delta-storage pool disease	FLI1
Choreoacanthocytosis	VPS13A
Juvenile Huntington disease	HTT
Leukonychia totalis	PLCD1
Early-onset parkinsonism-intellectual disability syndrome	RAB39B
Occult macular dystrophy	RP1L1
Ectodermal dysplasia-pili torti-cutaneous syndactyly syndrome	NECTIN4
Laurin-Sandrow syndrome	LMBR1
NLRP12-associated hereditary periodic fever syndrome	NLRP12
Mucocutaneous venous malformations	TEK
Dominant hypophosphatemia with nephrolithiasis or osteoporosis	SLC34A1
Dominant hypophosphatemia with nephrolithiasis or osteoporosis	NHERF1
Biliary atresia with splenic malformation syndrome	CFC1
Isolated split hand-split foot malformation	DLX6
Isolated split hand-split foot malformation	EPS15L1
Isolated split hand-split foot malformation	TP63
Isolated split hand-split foot malformation	SEM1
Isolated split hand-split foot malformation	WNT10B
Isolated split hand-split foot malformation	DLX5
Isolated split hand-split foot malformation	BTRC
Isolated split hand-split foot malformation	FBXW4
RFT1-CDG	RFT1
HELLP syndrome	CD46
HELLP syndrome	CFH
HELLP syndrome	CFI
HELLP syndrome	HELLPAR
Ollier disease	PTH1R
Ollier disease	IDH2
Ollier disease	IDH1
De novo thrombotic microangiopathy after kidney transplantation	CFI
De novo thrombotic microangiopathy after kidney transplantation	CFH
Hand-foot-genital syndrome	HOXA13
Dimethylglycine dehydrogenase deficiency	DMGDH
Acute fatty liver of pregnancy	HADHA
Generalized pustular psoriasis	IL36RN
Generalized pustular psoriasis	AP1S3
Hyperphosphatasia-intellectual disability syndrome	PIGV
Hyperphosphatasia-intellectual disability syndrome	PIGL
Hyperphosphatasia-intellectual disability syndrome	PIGO
Hyperphosphatasia-intellectual disability syndrome	PGAP2
Hyperphosphatasia-intellectual disability syndrome	PGAP3
Hyperphosphatasia-intellectual disability syndrome	PIGW
Hyperphosphatasia-intellectual disability syndrome	PIGY
Melnick-Needles syndrome	FLNA
Progressive cerebello-cerebral atrophy	SEPSECS
Progressive cerebello-cerebral atrophy	VPS53
McKusick-Kaufman syndrome	MKKS
Matthew-Wood syndrome	STRA6
Matthew-Wood syndrome	RARB
Matthew-Wood syndrome	WNT7B
Marshall-Smith syndrome	NFIX
Marinesco-Sjögren syndrome	SIL1
Shprintzen-Goldberg syndrome	SKI
Shprintzen-Goldberg syndrome	FBN1
Marden-Walker syndrome	PIEZO2
Anaplastic oligodendroglioma	IDH2
Anaplastic oligodendroglioma	POT1
Ependymoma	ZFTA
Infantile systemic hyalinosis	ANTXR2
Oligoastrocytoma	IDH2
Anaplastic oligoastrocytoma	IDH2
Angiocentric glioma	MYB
Angiocentric glioma	QKI
Hydrolethalus	HYLS1
Hydrolethalus	KIF7
Autosomal dominant epidermolytic ichthyosis	KRT1
Autosomal dominant epidermolytic ichthyosis	KRT10
Primary hypomagnesemia with hypercalciuria and nephrocalcinosis with severe ocular involvement	CLDN19
Gliosarcoma	NFKBIA
Gliosarcoma	MGMT
Gliosarcoma	EGFR
Gliosarcoma	FGFR1
Gliosarcoma	FGFR3
Gliosarcoma	TP53
Gliosarcoma	TACC3
Gliosarcoma	TACC1
Gliosarcoma	PPARG
Gliosarcoma	LZTR1
Gliosarcoma	SEPTIN14
Gliosarcoma	IDH1
Giant cell glioblastoma	ROS1
Giant cell glioblastoma	PPARG
Giant cell glioblastoma	NFKBIA
Giant cell glioblastoma	MGMT
Giant cell glioblastoma	EGFR
Giant cell glioblastoma	FGFR1
Giant cell glioblastoma	FGFR3
Giant cell glioblastoma	TP53
Giant cell glioblastoma	TACC3
Giant cell glioblastoma	TACC1
Giant cell glioblastoma	IDH1
Giant cell glioblastoma	LZTR1
Giant cell glioblastoma	SEPTIN14
Anaplastic astrocytoma	IDH2
Protoplasmic astrocytoma	IDH2
Gemistocytic astrocytoma	IDH2
Fibrillary astrocytoma	IDH2
Pilomyxoid astrocytoma	BRAF
Pilomyxoid astrocytoma	RAF1
Pilomyxoid astrocytoma	FGFR1
Pilomyxoid astrocytoma	SRGAP3
Pilomyxoid astrocytoma	NTRK2
Pilomyxoid astrocytoma	KIAA1549
Pilomyxoid astrocytoma	KRAS
Oligodendroglioma	IDH2
Oligodendroglioma	POT1
Methylcobalamin deficiency type cblE	MTRR
Hypodontia-dysplasia of nails syndrome	MSX1
Hypertryptophanemia	TDO2
Dilated cardiomyopathy-hypergonadotropic hypogonadism syndrome	LMNA
Hypoparathyroidism-sensorineural deafness-renal disease syndrome	GATA3
Epidermolytic palmoplantar keratoderma	KRT1
Epidermolytic palmoplantar keratoderma	KRT9
Epidermolytic palmoplantar keratoderma	KRT16
Desmoplastic/nodular medulloblastoma	SUFU
Palmoplantar keratoderma-esophageal carcinoma syndrome	RHBDF2
Medulloblastoma with extensive nodularity	SUFU
Palmoplantar keratoderma-deafness syndrome	GJB2
Palmoplantar keratoderma-deafness syndrome	MT-TS1
Choroid plexus carcinoma	TP53
2q32q33 microdeletion syndrome	SATB2
SATB2-associated syndrome due to a chromosomal rearrangement	SATB2
Pallister-Hall syndrome	GLI3
Superficial epidermolytic ichthyosis	KRT2
7q31 microdeletion syndrome	FOXP2
8p11.2 deletion syndrome	ANK1
8p23.1 microdeletion syndrome	GATA4
Ichthyosis follicularis-alopecia-photophobia syndrome	MBTPS2
CHILD syndrome	NSDHL
Harlequin ichthyosis	ABCA12
6q25.2q25.3 microdeletion syndrome	ARID1B
Familial isolated hypoparathyroidism due to agenesis of parathyroid gland	GCM2
Megacystis-microcolon-intestinal hypoperistalsis syndrome	LMOD1
Megacystis-microcolon-intestinal hypoperistalsis syndrome	MYH11
Megacystis-microcolon-intestinal hypoperistalsis syndrome	ACTG2
Megacystis-microcolon-intestinal hypoperistalsis syndrome	MYLK
Autosomal recessive Stickler syndrome	COL9A1
Autosomal recessive Stickler syndrome	COL9A2
Autosomal recessive Stickler syndrome	COL9A3
AICA-ribosiduria	ATIC
Hyposmia-nasal and ocular hypoplasia-hypogonadotropic hypogonadism syndrome	SMCHD1
Isolated aniridia	PAX6
Isolated aniridia	TRIM44
Isolated aniridia	FOXC1
Polymicrogyria with optic nerve hypoplasia	TUBA8
Pancreatic hypoplasia-diabetes-congenital heart disease syndrome	GATA6
Hereditary persistence of fetal hemoglobin-sickle cell disease syndrome	HBB
Hereditary persistence of fetal hemoglobin-sickle cell disease syndrome	BCL11A
Hereditary persistence of fetal hemoglobin-sickle cell disease syndrome	HBG1
Hereditary persistence of fetal hemoglobin-sickle cell disease syndrome	HBG2
Hereditary persistence of fetal hemoglobin-sickle cell disease syndrome	KLF1
CK syndrome	NSDHL
Sickle cell-hemoglobin D disease syndrome	HBB
Sickle cell-hemoglobin E disease syndrome	HBB
Sickle cell-beta-thalassemia disease syndrome	HBB
Sickle cell-hemoglobin C disease syndrome	HBB
Juberg-Hayward syndrome	ESCO2
Hyperzincemia and hypercalprotectinemia	PSTPIP1
Johanson-Blizzard syndrome	UBR1
"46,XY partial gonadal dysgenesis"	DHX37
"46,XY partial gonadal dysgenesis"	WT1
"46,XY partial gonadal dysgenesis"	SOX9
"46,XY partial gonadal dysgenesis"	SRY
"46,XY partial gonadal dysgenesis"	WWOX
"46,XY partial gonadal dysgenesis"	ZFPM2
"46,XY partial gonadal dysgenesis"	GATA4
"46,XY partial gonadal dysgenesis"	NR0B1
"46,XY partial gonadal dysgenesis"	NR5A1
"46,XY partial gonadal dysgenesis"	MAP3K1
"46,XY partial gonadal dysgenesis"	VAMP7
Pachyonychia congenita	KRT16
Pachyonychia congenita	KRT17
Pachyonychia congenita	KRT6A
Pachyonychia congenita	KRT6B
Localized junctional epidermolysis bullosa	COL17A1
Localized junctional epidermolysis bullosa	ITGB4
IVIC syndrome	SALL4
Pigmented paravenous retinochoroidal atrophy	CRB1
Parietal foramina with clavicular hypoplasia	MSX2
Benign concentric annular macular dystrophy	IMPG1
Autosomal dominant spastic ataxia type 1	VAMP1
Microphthalmia-retinitis pigmentosa-foveoschisis-optic disc drusen syndrome	MFRP
Familial hyperaldosteronism type III	KCNJ5
Familial osteochondritis dissecans	ACAN
Ataxia-telangiectasia-like disorder	MRE11
Neuronal intranuclear inclusion disease	NOTCH2NLC
Microvillus inclusion disease	MYO5B
Microvillus inclusion disease	STX3
Lethal infantile mitochondrial myopathy	MT-TT
Mitochondrial myopathy with reversible cytochrome C oxidase deficiency	TRMU
Mitochondrial myopathy with reversible cytochrome C oxidase deficiency	MT-TE
Keipert syndrome	GPC4
Renal coloboma syndrome	PAX2
Pierson syndrome	LAMB2
Combined oxidative phosphorylation defect type 7	MTRFR
Combined oxidative phosphorylation defect type 4	TUFM
Arthrogryposis-renal dysfunction-cholestasis syndrome	VPS33B
Arthrogryposis-renal dysfunction-cholestasis syndrome	VIPAS39
Combined oxidative phosphorylation defect type 2	MRPS16
Isolated ATP synthase deficiency	MT-ATP6
Isolated ATP synthase deficiency	ATP5MK
Isolated ATP synthase deficiency	MT-ATP8
Isolated ATP synthase deficiency	ATPAF2
Isolated ATP synthase deficiency	ATP5F1E
Isolated ATP synthase deficiency	ATP5F1A
Isolated ATP synthase deficiency	ATP5F1D
Pyruvate dehydrogenase E3-binding protein deficiency	PDHX
Noonan syndrome-like disorder with loose anagen hair	PPP1CB
Noonan syndrome-like disorder with loose anagen hair	SHOC2
Pyruvate dehydrogenase E1-beta deficiency	PDHB
Adult-onset autosomal recessive sideroblastic anemia	GLRX5
Knuckle pads-leukonychia-sensorineural deafness-palmoplantar hyperkeratosis syndrome	GJB2
Autosomal recessive progressive external ophthalmoplegia	POLG
Autosomal recessive progressive external ophthalmoplegia	TK2
Spinocerebellar ataxia with epilepsy	POLG
"Mitochondrial DNA depletion syndrome, myopathic form"	TK2
Isolated cytochrome C oxidase deficiency	COX10
Isolated cytochrome C oxidase deficiency	MT-CO1
Isolated cytochrome C oxidase deficiency	MT-CO2
Isolated cytochrome C oxidase deficiency	MT-CO3
Isolated cytochrome C oxidase deficiency	COX6B1
Isolated cytochrome C oxidase deficiency	COX14
Isolated cytochrome C oxidase deficiency	COX16
Isolated cytochrome C oxidase deficiency	COX4I1
Isolated cytochrome C oxidase deficiency	COX20
Isolated cytochrome C oxidase deficiency	COA3
Isolated cytochrome C oxidase deficiency	COX8A
Isolated cytochrome C oxidase deficiency	COX6A2
Isolated cytochrome C oxidase deficiency	PET117
Isolated cytochrome C oxidase deficiency	COX5A
Renal tubulopathy-encephalopathy-liver failure syndrome	BCS1L
Deafness-encephaloneuropathy-obesity-valvulopathy syndrome	PDSS1
Autosomal dominant progressive external ophthalmoplegia	POLG
Autosomal dominant progressive external ophthalmoplegia	POLG2
Autosomal dominant progressive external ophthalmoplegia	SLC25A4
Autosomal dominant progressive external ophthalmoplegia	TWNK
Autosomal dominant progressive external ophthalmoplegia	RRM2B
Oculofaciocardiodental syndrome	BCOR
Oculotrichoanal syndrome	FREM1
Urofacial syndrome	HPSE2
Urofacial syndrome	LRIG2
Mitochondrial DNA-associated Leigh syndrome	MT-ATP6
Mitochondrial DNA-associated Leigh syndrome	MT-ND1
Mitochondrial DNA-associated Leigh syndrome	MT-ND2
Mitochondrial DNA-associated Leigh syndrome	MT-ND3
Mitochondrial DNA-associated Leigh syndrome	MT-ND4
Mitochondrial DNA-associated Leigh syndrome	MT-ND5
Mitochondrial DNA-associated Leigh syndrome	MT-ND6
Mitochondrial DNA-associated Leigh syndrome	MT-TL1
Mitochondrial DNA-associated Leigh syndrome	MT-TK
Mitochondrial DNA-associated Leigh syndrome	MT-TW
Mitochondrial DNA-associated Leigh syndrome	MT-TV
Navajo neurohepatopathy	MPV17
"Oculocerebrofacial syndrome, Kaufman type"	UBE3B
"Mitochondrial DNA depletion syndrome, encephalomyopathic form with renal tubulopathy"	RRM2B
Oculodentodigital dysplasia	GJA1
"Blepharophimosis-intellectual disability syndrome, Ohdo type"	MED12
Odonto-onycho-dermal dysplasia	WNT10A
Autosomal recessive sideroblastic anemia	SLC25A38
Autosomal recessive sideroblastic anemia	HSPA9
Orofaciodigital syndrome type 6	FAM149B1
Orofaciodigital syndrome type 6	OFD1
Orofaciodigital syndrome type 6	TMEM216
Orofaciodigital syndrome type 6	KIF7
Orofaciodigital syndrome type 6	CPLANE1
Orofaciodigital syndrome type 6	TCTN3
Orofaciodigital syndrome type 6	PDE6D
Orofaciodigital syndrome type 6	TMEM231
Orofaciodigital syndrome type 6	TOPORS
Orofaciodigital syndrome type 6	KIAA0753
Orofaciodigital syndrome type 4	TCTN3
Orofaciodigital syndrome type 2	NEK1
Malignant peripheral nerve sheath tumor with perineurial differentiation	SH3PXD2A
Malignant peripheral nerve sheath tumor with perineurial differentiation	HTRA1
Orofaciodigital syndrome type 1	OFD1
Congenital central hypoventilation syndrome	LBX1
Congenital central hypoventilation syndrome	PHOX2B
Congenital central hypoventilation syndrome	EDN3
Congenital central hypoventilation syndrome	GDNF
Congenital central hypoventilation syndrome	MYO1H
Congenital central hypoventilation syndrome	BDNF
Plectin-related limb-girdle muscular dystrophy R17	PLEC
Multicentric carpo-tarsal osteolysis with or without nephropathy	MAFB
Nasu-Hakola disease	TREM2
Nasu-Hakola disease	TYROBP
Autosomal recessive spastic ataxia-optic atrophy-dysarthria syndrome	MTPAP
Autosomal recessive intermediate Charcot-Marie-Tooth disease type B	KARS1
Progressive osseous heteroplasia	GNAS
Malignant triton tumor	SH3PXD2A
Malignant triton tumor	HTRA1
Osteocraniostenosis	FAM111A
Melanoma and neural system tumor syndrome	CDKN2A
Constitutional mismatch repair deficiency syndrome	PMS2
Constitutional mismatch repair deficiency syndrome	MLH1
Constitutional mismatch repair deficiency syndrome	MSH2
Constitutional mismatch repair deficiency syndrome	MSH6
Otofaciocervical syndrome	EYA1
Otofaciocervical syndrome	PAX1
Temple syndrome due to paternal 14q32.2 microdeletion	MEG3
Temple syndrome due to paternal 14q32.2 microdeletion	DLK1
Temple syndrome due to paternal 14q32.2 microdeletion	RTL1
Pachydermoperiostosis	SLCO2A1
Pachydermoperiostosis	HPGD
Kagami-Ogata syndrome due to maternal 14q32.2 microdeletion	RTL1
Kagami-Ogata syndrome due to maternal 14q32.2 microdeletion	MEG3
Kagami-Ogata syndrome due to maternal 14q32.2 microdeletion	DLK1
Lateral meningocele syndrome	NOTCH3
Osteoporosis-pseudoglioma syndrome	LRP5
Otodental syndrome	FGF3
"Endosteal hyperostosis, Worth type"	LRP5
Autosomal dominant osteopetrosis type 1	LRP5
Osteopathia striata-cranial sclerosis syndrome	AMER1
Autosomal recessive malignant osteopetrosis	CLCN7
Autosomal recessive malignant osteopetrosis	TCIRG1
Autosomal recessive malignant osteopetrosis	TNFSF11
Autosomal recessive malignant osteopetrosis	SNX10
Partial pancreatic agenesis	PTF1A
Partial pancreatic agenesis	PDX1
Partial hydatidiform mole	NLRP7
Partial hydatidiform mole	KHDC3L
Papilloma of choroid plexus	TP53
Papillon-Lefèvre syndrome	CTSC
Genetic hyperferritinemia without iron overload	FTL
Kagami-Ogata syndrome due to maternal 14q32.2 hypermethylation	DLK1
Kagami-Ogata syndrome due to maternal 14q32.2 hypermethylation	MEG3
Kagami-Ogata syndrome due to maternal 14q32.2 hypermethylation	RTL1
X-linked sideroblastic anemia and spinocerebellar ataxia	ABCB7
Temple syndrome due to paternal 14q32.2 hypomethylation	RTL1
Temple syndrome due to paternal 14q32.2 hypomethylation	MEG3
Temple syndrome due to paternal 14q32.2 hypomethylation	DLK1
Complete hydatidiform mole	NLRP7
Complete hydatidiform mole	KHDC3L
Complete hydatidiform mole	MEI1
Complete hydatidiform mole	TOP6BL
Syndactyly type 8	FGF16
Metachondromatosis	PTPN11
Acrogeria	COL3A1
"Metaphyseal chondrodysplasia, Spahr type"	MMP13
Metaphyseal dysplasia-maxillary hypoplasia-brachydacty syndrome	RUNX2
Multiple benign circumferential skin creases on limbs	MAPRE2
Multiple benign circumferential skin creases on limbs	TUBB
Micro syndrome	RAB3GAP1
Micro syndrome	RAB3GAP2
Micro syndrome	RAB18
Micro syndrome	TBC1D20
Corpus callosum agenesis-abnormal genitalia syndrome	ARX
Autosomal dominant primary microcephaly	DPP6
Autosomal dominant primary microcephaly	LMNB1
Autosomal recessive chorioretinopathy-microcephaly syndrome	PLK4
Autosomal recessive chorioretinopathy-microcephaly syndrome	TUBGCP6
Autosomal recessive chorioretinopathy-microcephaly syndrome	TUBGCP4
Pontocerebellar hypoplasia type 2	TSEN15
Pontocerebellar hypoplasia type 2	TSEN54
Pontocerebellar hypoplasia type 2	TSEN34
Pontocerebellar hypoplasia type 2	TSEN2
Pontocerebellar hypoplasia type 2	SEPSECS
Microcephaly-lymphedema-chorioretinopathy syndrome	KIF11
Ear-patella-short stature syndrome	ORC4
Ear-patella-short stature syndrome	ORC6
Ear-patella-short stature syndrome	CDT1
Ear-patella-short stature syndrome	CDC6
Ear-patella-short stature syndrome	ORC1
Ear-patella-short stature syndrome	GMNN
Ear-patella-short stature syndrome	CDC45
Microphthalmia with linear skin defects syndrome	HCCS
Microphthalmia with linear skin defects syndrome	COX7B
Microphthalmia with linear skin defects syndrome	NDUFB11
Muckle-Wells syndrome	NLRP3
Moyamoya disease	DIAPH1
Moyamoya disease	ACTA2
Moyamoya disease	RNF213
Lethal intrauterine growth restriction-cortical malformation-congenital contractures syndrome	GPKOW
15q11.2 microdeletion syndrome	NIPA1
15q11.2 microdeletion syndrome	NIPA2
15q11.2 microdeletion syndrome	TUBG1
Ataxia-pancytopenia syndrome	SAMD9L
FOXG1 syndrome due to 14q12 microdeletion	FOXG1
Mayer-Rokitansky-Küster-Hauser syndrome type 2	HNF1B
Mayer-Rokitansky-Küster-Hauser syndrome type 2	WNT4
Mulibrey nanism	TRIM37
Distal 16p11.2 microdeletion syndrome	SH2B1
Carney complex	PRKAR1A
Carney complex	PDE11A
Tubular aggregate myopathy	ORAI1
Tubular aggregate myopathy	STIM1
Tubular aggregate myopathy	CASQ1
14q11.2 microduplication syndrome	CHD8
14q11.2 microduplication syndrome	SUPT16H
Spinal muscular atrophy-progressive myoclonic epilepsy syndrome	ASAH1
Cleft palate-congenital heart defect-intellectual disability syndrome due to 15q14 microdeletion	MEIS2
Myhre syndrome	SMAD4
Proximal 16p11.2 microdeletion syndrome	SH2B1
20p12.3 microdeletion syndrome	BMP2
17q23.1q23.2 microdeletion syndrome	TBX4
17q12 microdeletion syndrome	HNF1B
17q12 microdeletion syndrome	LHX1
3M syndrome	CUL7
3M syndrome	OBSL1
3M syndrome	CCDC8
16q24.3 microdeletion syndrome	ANKRD11
Nail-patella-like renal disease	LMX1B
Distal 17p13.3 microdeletion syndrome	YWHAE
Geleophysic dysplasia	FBN1
Geleophysic dysplasia	ADAMTSL2
Geleophysic dysplasia	LTBP3
Distal 22q11.2 microdeletion syndrome	BCR
Distal 22q11.2 microdeletion syndrome	MAPK1
Distal 22q11.2 microdeletion syndrome	CRKL
21q22.11q22.12 microdeletion syndrome	KIF15
Fibular aplasia-complex brachydactyly syndrome	BMPR1B
Fibular aplasia-complex brachydactyly syndrome	GDF5
Xq27.3q28 duplication syndrome	FMR1
Langer mesomelic dysplasia	SHOX
Osteoglosphonic dysplasia	FGFR1
Familial adenomatous polyposis due to 5q22.2 microdeletion	APC
Alagille syndrome due to 20p12 microdeletion	JAG1
Alagille syndrome due to a JAG1 point mutation	JAG1
Mowat-Wilson syndrome due to monosomy 2q22	ZEB2
Mowat-Wilson syndrome due to a ZEB2 point mutation	ZEB2
Microcephalic osteodysplastic primordial dwarfism types I and III	RNU4ATAC
Lenz-Majewski hyperostotic dwarfism	PTDSS1
Alagille syndrome due to a NOTCH2 point mutation	NOTCH2
Okihiro syndrome due to 20q13 microdeletion	SALL4
Okihiro syndrome due to a point mutation	SALL4
Kleefstra syndrome due to a point mutation	KMT2C
Kleefstra syndrome due to a point mutation	EHMT1
Monoamine oxidase A deficiency	MAOA
"Blepharophimosis-intellectual disability syndrome, SBBYS type"	KAT6B
Intellectual disability-cataracts-calcified pinnae-myopathy syndrome	ZBTB20
Familial multiple meningioma	SMARCB1
Familial multiple meningioma	SUFU
Familial multiple meningioma	SMARCE1
Familial multiple meningioma	MN1
Familial multiple meningioma	PDGFB
Peeling skin syndrome type A	FLG2
Peeling skin syndrome type A	CHST8
Peeling skin syndrome type A	SERPINB8
Peeling skin syndrome type B	CDSN
NPHP3-related Meckel-like syndrome	NPHP3
Acral peeling skin syndrome	CSTA
Acral peeling skin syndrome	TGM5
Progressive myoclonic epilepsy type 3	KCTD7
Acute necrotizing encephalopathy of childhood	CPT2
Acute necrotizing encephalopathy of childhood	RANBP2
COG4-CDG	COG4
COG1-CDG	COG1
"Spondyloepimetaphyseal dysplasia, Maroteaux type"	TRPV4
RAPADILINO syndrome	RECQL4
DPM3-CDG	DPM3
COG5-CDG	COG5
Hyperinsulinism due to INSR deficiency	INSR
Congenital hyperinsulinism due to HNF4A deficiency	HNF4A
Osteosclerotic bone dysplasia	FAM20C
Ramon syndrome	ELMO2
CHST3-related skeletal dysplasia	CHST3
Infantile spasms-psychomotor retardation-progressive brain atrophy-basal ganglia disease syndrome	SLC19A3
Rabson-Mendenhall syndrome	INSR
Pyle disease	SFRP4
MRCS syndrome	BEST1
Autosomal recessive multiple pterygium syndrome	CHRNG
Autosomal recessive multiple pterygium syndrome	MYH3
Glycogen storage disease with severe cardiomyopathy due to glycogenin deficiency	GYG1
Ulnar-mammary syndrome	TBX3
Schneckenbecken dysplasia	SLC35D1
Schneckenbecken dysplasia	INPPL1
Schinzel-Giedion syndrome	SETBP1
Roussy-Lévy syndrome	PMP22
Roussy-Lévy syndrome	MPZ
Richieri Costa-Pereira syndrome	EIF4A3
Autosomal dominant Robinow syndrome	DVL3
Autosomal dominant Robinow syndrome	WNT5A
Autosomal dominant Robinow syndrome	DVL1
