GenericName	TradeName	DateDesignated	OrphanDesignation	OrphanDesignationStatus	FDAOrphanApprovalStatus	SponsorCompany
O-18F-fluoroethyl-L-tyrosine		5/8/2019	Diagnostic for the management of Malignant Rhabdoid Tumors	Designated	Not FDA Approved for Orphan Indication	"Advanced Imaging Projects, LLC"
"(6-(4-((4-(1H-pyrazol-4-yl)phenyl)amino)pyrimidin-2-yl)-1-methyl-1H-indol-2-yl)(3,3-difluoroazetidin-1-yl)methanone"		5/8/2019	Treatment of Idiopathic Pulmonary Fibrosis	Designated	Not FDA Approved for Orphan Indication	"Beijing Tide Pharmaceutical Co., Ltd"
ansuvimab-zykl	EBANGA™	5/8/2019	Treatment of Ebola Virus Disease	Designated/Approved		Emergent Manufacturing Operations Baltimore LLC
sotorasib	Lumakras	5/1/2019	Treatment of KRAS p.G12C-positive non-small cell lung cancer	Designated/Approved		Amgen Inc.
human glucagon-like peptide-2 analogue linked to a human immunoglobulin Fc fragment (ready to use pre-filled syringe)		5/1/2019	Treatment of short bowel syndrome	Designated	Not FDA Approved for Orphan Indication	Hanmi Pharmaceutical Co. Ltd.
allogeniec Human Pancreatic Islets of Langerhans		5/1/2019	Treatment of brittle type 1 diabetes	Designated	Not FDA Approved for Orphan Indication	"Diabetes Research Institute & Cell Transplant Center, Univ of Miami"
Purified Allogeneic Human Pancreatic Islets of Langerhans		5/1/2019	Treatment of Brittle Type 1 Diabetes	Designated	Not FDA Approved for Orphan Indication	University of Chicago
allogeneic skin-derived ABCB5-positive mesenchymal stem cells		5/1/2019	Treatment of Epidermolysis Bullosa	Designated	Not FDA Approved for Orphan Indication	RHEACELL GmbH & Co. KG
N-{2-[N-((3S)(3-piperidyl))carbamoyl]-5-[2-(3-fluorophenyl)ethynyl](3-thienyl)}aminoamide		4/29/2019	Treatment of acute myeloid leukemia	Designated	Not FDA Approved for Orphan Indication	"Pharos iBio Co., Ltd."
Dexpramipexole		4/22/2019	Treatment of hypereosinophilic syndrome (HES)	Designated	Not FDA Approved for Orphan Indication	Areteia Therapeutics
Melatonin		4/22/2019	Treatment of heat stroke	Designated	Not FDA Approved for Orphan Indication	WORPHMED Srl
vardenafil		4/22/2019	Treatment of Pulmonary Arterial Hypertension	Designated	Not FDA Approved for Orphan Indication	"Respira Therapeutics, Inc"
"3-(3-(3,5-bis(trifluoromethyl)phenyl)-1H-pyrazol-1-yl) propanoic acid"		4/22/2019	Treatment of Stargardt’s disease.	Designated	Not FDA Approved for Orphan Indication	"Stargazer Pharmaceuticals, Inc."
recombinant adeno-associated viral vector with human methylmalonyl-COA mutase (MUT) gene		4/22/2019	Treatment of methylmalonic acidemia	Designated	Not FDA Approved for Orphan Indication	"LogicBio Therapeutics, Inc."
a long-acting interleukin-11 analog comprised of 178 amino acids covalently modified wiht a 40-kDa branched maleimide-polyethylene glycol at the added cysteine residue following the carboxy-terminal amino acid		4/17/2019	Treatment of acute radiation syndrome	Designated	Not FDA Approved for Orphan Indication	"Bolder BioTechnology, Inc."
Autologous enriched T-cells genetically modified with a retroviral vector to express two chimeric antigen receptors (CARs) targeting cluster of differentiation (CD) 19 and CD 22.		4/17/2019	Treatment of Acute Lymphoblastic Leukemia	Designated	Not FDA Approved for Orphan Indication	Autolus Limited
6-[18F] fluoro-L-m-tyrosine		4/17/2019	Diagnostic for the management of Aromatic L-Amino Acid Decarboxylase Deficiency	Designated	Not FDA Approved for Orphan Indication	"Advanced Imaging Projects, LLC"
"a non-replicating, recombinant adeno-associated virus serotype 9 (AAV9) containing the human Methyl CpG Binding Protein 2B (MECP2B) cDNA under the control of a segment of the murine MECP2 promoter."		4/17/2019	Treatment of Rett Syndrome (RTT)	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Novartis Institute for BioMedical Research, Inc."
etranacogene dezaparvovec-drlb	Hemgenix	4/17/2019	Treatment of Hemophilia B	Designated/Approved		CSL Behring LLC
Recombinant human interleukin-7 fused to a hybrid crystallizable fragment region of a human antibody (rhIL-7-hyFc)		4/11/2019	Treatment of Idiopathic CD4+ Lymphocytopenia.	Designated	Not FDA Approved for Orphan Indication	"NeoImmuneTech, Inc."
cromolyn solution		4/11/2019	Treatment of idiopathic pulmonary fibrosis	Designated	Not FDA Approved for Orphan Indication	"Respivant Sciences, Inc."
"2-hydroxymethyl-2-methoxymethyl-1-azabicyclo[2,2,2]octan-3-one"		4/11/2019	Treatment of Myelodysplastic Syndrome	Designated	Not FDA Approved for Orphan Indication	Aprea Therapeutics AB
umbralisib	Ukoniq	4/11/2019	Treatment of nodal marginal zone lymphoma	Designated/Approved		"TG Therapeutics, Inc."
umbralisib	Ukoniq	4/11/2019	Treatment of splenic marginal zone lymphoma	Designated/Approved		"TG Therapeutics, Inc."
umbralisib	Ukoniq	4/11/2019	Treatment of extranodal marginal zone lymphoma	Designated/Approved		"TG Therapeutics, Inc."
pamrevlumab		4/11/2019	Treatment of Duchenne Muscular Dystrophy	Designated	Not FDA Approved for Orphan Indication	"FibroGen, Inc."
autologous chimeric antigen receptor (CAR) T cells targeting intercellular adhesion molecule-1 (ICAM-1)		4/9/2019	"Treatment of anaplastic thyroid cancer, medullary thyroid cancer, and recurrent or metastatic follicular or papillary thyroid cancer"	Designated	Not FDA Approved for Orphan Indication	"AffyImmune Therapeutics, Inc."
estetrol		3/28/2019	Treatment of neonatal hypoxic ischemic encephalopathy	Designated	Not FDA Approved for Orphan Indication	Mithra Pharmaceuticals S.A.
allogeneic ABCB5-positive limbal stem cells		3/28/2019	Treatment of limbal stem cell deficiency	Designated	Not FDA Approved for Orphan Indication	RHEACELL GmbH & Co. KG
alpha tocopherol and ascorbic acid		3/28/2019	Treatment of Fragile X syndrome	Designated	Not FDA Approved for Orphan Indication	GenCo Pharmaceuticals LLC
sodium bispiperidine-carboxamido-dimethylpenatnamido-methoxycarbonyl-indol-propanamidohexanoate		3/28/2019	Treatment of malignant melanoma stages IIB to IV	Designated	Not FDA Approved for Orphan Indication	"ENB Therapeutics, INC"
"expanded human autologous chondrocytes in a biopolymer (sodium alginate, gellan gum) matrix"		3/25/2019	Treatment of microtia (including anotia)	Designated	Not FDA Approved for Orphan Indication	Auregen BioTherapeutics SA
Varespladib		3/25/2019	Treatment of snakebite	Designated	Not FDA Approved for Orphan Indication	"Ophirex, Inc."
methotrexate		3/25/2019	Treatment of ectopic pregnancy	Designated	Not FDA Approved for Orphan Indication	"Antares Pharma, Inc"
Anti-transforming growth factor beta (TGF-ß) trap fusion protein		3/25/2019	Treatment of systemic sclerosis.	Designated	Not FDA Approved for Orphan Indication	Formation Biologics
human monoclonal IgG2 antibody against tissue factor pathway inhibitor (TFPI)		3/25/2019	Treatment of Hemophilia A	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Bayer HealthCare LLC
deferoxamine		3/15/2019	Treatment of sickle cell leg ulcers	Designated	Not FDA Approved for Orphan Indication	Theris Medical
encapsulated rapamycin		3/15/2019	Treatment of familial adenomatous polyposis	Designated	Not FDA Approved for Orphan Indication	Emtora Biosciences Inc
calmangafodipir		3/15/2019	Treatment of acetaminophen overdose.	Designated	Not FDA Approved for Orphan Indication	Egetis Therapeutics AB
crinecerfont		3/15/2019	Treatment of congenital adrenal hyperplasia	Designated	Not FDA Approved for Orphan Indication	"Neurocrine Biosciences, Inc."
capmatinib		3/15/2019	Treatment of non-small cell lung cancer with MET genomic tumor aberrations	Designated/Approved		Novartis Pharmaceuticals Corp.
meplazumab		3/15/2019	Treatment of malaria	Designated	Not FDA Approved for Orphan Indication	"Jiangsu Pacific-Meinuoke Bio-pharmaceutical Co., Ltd."
tinostamustine hydrochloride		3/15/2019	Treatment of T-cell prolymphocytic leukemia	Designated	Not FDA Approved for Orphan Indication	Mundipharma EDO GmbH
nanatinostat and valganciclovir		3/15/2019	Treatment of angioimmunoblastic T-cell lymphoma	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Viracta Therapeutics, Inc."
"recombinant adeno-associated virus, serotype 1, containing a transgene that encodes a microRNA targeting huntingtin messenger RNA"		3/15/2019	Treatment of Huntington’s Disease.	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Voyager Therapeutics
saracatinib		3/11/2019	Treatment of idiopathic pulmonary fibrosis	Designated	Not FDA Approved for Orphan Indication	"AstraZeneca Pharmaceuticals, LP"
tecarfarin		3/7/2019	Prevention of systemic thromboembolism of cardiac origin in patients with End Stage Renal Disease and atrial fibrillation	Designated	Not FDA Approved for Orphan Indication	"Cadrenal Therapeutics, Inc."
small molecule inhibitor of the pro-survival protein Myeloid Cell Leukemia sequence 1 (MCL 1)		2/28/2019	Treatment of Multiple Myeloma	Designated	Not FDA Approved for Orphan Indication	Amgen Inc.
pyronaridine tetraphosphate		2/28/2019	Treatment of Ebola infection	Designated	Not FDA Approved for Orphan Indication	"Collaborations Pharmaceuticals, Inc."
sorafenib		2/28/2019	Treatment of desmoid tumors/aggressive fibromatosis	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Bayer HealthCare Pharmaceuticals, Inc."
efmitermant alfa		2/28/2019	Treatment of Charcot-Marie-Tooth disease	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Acceleron Pharma Inc.
src homology region 2-containing protein tyrosine phosphatase 2 (SHP2) inhibitor JAB-3068		2/28/2019	Treatment of esophageal cancer	Designated	Not FDA Approved for Orphan Indication	"Jacobio Pharmaceuticals Co., Ltd."
nanatinostat and valganciclovir		2/28/2019	Treatment of plasmablastic lymphoma	Designated	Not FDA Approved for Orphan Indication	"Viracta Therapeutics, Inc."
nanatinostat and valganciclovir		2/28/2019	Treatment of post-transplant lymphoproliferative disorder	Designated	Not FDA Approved for Orphan Indication	"Viracta Therapeutics, Inc."
Ac-225-4-PHenylbutyryl-His-D-Phe-Arg-Trp-Gly-Lys(eAhx-DOTA)-NH2		2/28/2019	Treatment of Uveal Melanoma	Designated	Not FDA Approved for Orphan Indication	Modulation Therapeutics Incorporated
melatonin		2/28/2019	Treatment of hepatocellular carcinoma	Designated	Not FDA Approved for Orphan Indication	WORPHMED Srl
modakafusp alfa		2/28/2019	Treatment of multiple myeloma	Designated	Not FDA Approved for Orphan Indication	"Takeda Development Center Americas, Inc."
[11C]Acetic Acid		2/28/2019	Diagnostic for the management of hepatoblastoma	Designated	Not FDA Approved for Orphan Indication	"Advanced Imaging Projects, LLC"
Autologous genetically modified CD34+ hematopoietic cells transduced with a lentiviral vector (LV-EFS-TCIRG1-WPRE) that encodes for the human TCIRG1 transgene		2/28/2019	Treatment of infantile malignant osteopetrosis	Designated	Not FDA Approved for Orphan Indication	"Rocket Pharmaceuticals, Inc."
"4-(((3-chloro-1,4-dioxo-1,4 dihydronaphthalen-2-yl)amino)methyl)-N-(pyridine-3-yl)benzamide"		2/28/2019	Treatment of Multiple Myeloma	Designated	Not FDA Approved for Orphan Indication	Sino-American Cancer Foundation
C-type natriuretic peptide conjugated to a multi-arm polyethylene glycol carrier molecule through a cleavable linker		2/27/2019	Treatment of Achondroplasia	Designated	Not FDA Approved for Orphan Indication	Ascendis Pharma Growth Disorders A/S
recombinant botulinum vaccine A/B		2/26/2019	"Prevention of botulism caused by inhalational intoxication with botulinum neurotoxin (BoNT) serotype A, subtype A1, and BoNT serotype B, subtype B1."	Designated	Not FDA Approved for Orphan Indication	"The Surgeon General, Department of the Army"
autologous CD34+ Cells Enriched with Blood Derived Mitochondria		2/26/2019	Treatment of Pearson Syndrome	Designated	Not FDA Approved for Orphan Indication	Minovia Therapeutics Ltd.
dexamethasone		2/26/2019	Treatment of multiple myeloma	Designated	Not FDA Approved for Orphan Indication	Fera Pharmaceuticals
"5-(4-((2S,5S)-5-(4-chlorobenzyl)-2-methylmorpholino)piperidin-1-yl)-1H-1,2,4-triazol-3-amine"		2/25/2019	Treatment of idiopathic pulmonary fibrosis	Designated	Not FDA Approved for Orphan Indication	Molecure S.A. (previously OncoArendi S.A.)
"6-{[(1R,2S)-2-aminocyclohexyl]amino-7-fluoro-4-(1-methyl-1H-pyrazol-4-yl)-1,2-dihydro-3H-pyrrolo[3,4-c]pyridin-3-one monocitrate"		2/25/2019	Treatment of follicular lymphoma	Designated	Not FDA Approved for Orphan Indication	"Takeda Development Center Americas, Inc."
peritoneal dialysis solution containing combination of D-glucose and L-carnitine		2/21/2019	Treatment of patients with end stage renal disease who require peritoneal dialysis	Designated	Not FDA Approved for Orphan Indication	CoreQuest Sagl
enzyme transport vehicle specific for the transferrin receptor fused to iduronate 2-sulfatase		2/19/2019	Treatment of mucopolysaccharidosis type II	Designated	Not FDA Approved for Orphan Indication	Denali Therapeutics Inc.
A small molecule inhibitor of the pro-survival protein Myeloid Cell Leukemia sequence 1 (MCL 1)		2/15/2019	Treatment of Acute Myeloid Leukemia	Designated	Not FDA Approved for Orphan Indication	Amgen Inc.
verdiperstat		2/15/2019	Treatment of multiple system atrophy (MSA).	Designated	Not FDA Approved for Orphan Indication	"Biohaven Pharmaceuticals, Inc."
"peptide-drug conjugate combining [(Tyr3,Cys8) octreotate amide] and N2'-deacetyl-N2'-(3-mercapto-1-oxopropyl) maytansine"		2/15/2019	Treatment of small cell lung cancer	Designated	Not FDA Approved for Orphan Indication	"Tarveda Therapeutics, Inc."
recombinant adeno-associated viral vector serotype S3 containing codon-optimized expression cassette encoding human coagulation factor IX variant		2/15/2019	Treatment of hemophilia B	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Freeline Therapeutics Limited
etoposide toniribate		2/11/2019	Treatment of biliary tract cancer	Designated	Not FDA Approved for Orphan Indication	CellAct Pharma GmbH
rose bengal disodium		2/11/2019	Treatment of ocular melanoma	Designated	Not FDA Approved for Orphan Indication	"Provectus BioPharmaceuticals, Inc."
"2,4-dinitrophenol"		2/11/2019	Treatment of Huntington disease	Designated	Not FDA Approved for Orphan Indication	"Mitochon Pharmaceuticals, Inc."
budesonide		2/11/2019	Treatment of primary biliary cholangitis	Designated	Not FDA Approved for Orphan Indication	Calliditas Therapeutics AB
"Extracts of herbs Scutellaria baicalensis Geori, Glycyrrhiza uralensis Fisch, Paeonia lactiflora Pall, and Ziziphus jujuba Mill"		2/11/2019	Treatment of pancreatic cancer	Designated	Not FDA Approved for Orphan Indication	Yiviva Inc.
"2-[(2S)-1-azabicyclo[2.2.2]oct-2-yl]-6-(3-methyl-1H-pyrazol-4-yl)thieno[3,2-d]pyrimidin-4(3H)-one hemihydrate"		2/11/2019	Treatment of esophageal cancer	Designated	Not FDA Approved for Orphan Indication	"Millennium Pharmaceuticals, Inc."
Bispecific T-cell engager (BiTE) containing two single-chain variable fragment (scFv) domains directed against the B cell maturation antigen (BCMA) surface receptor on tumor cells and the cluster of differentiation 3 (CD3) receptor on T-cells		2/8/2019	Treatment of multiple myeloma	Designated	Not FDA Approved for Orphan Indication	"Amgen, Inc."
adeno-associated virus serotype 5 capsid containing the gene for human Nuclear Hormone Receptor NR2E3		2/8/2019	Treatment of NR2E3 mutation-associated retinal degenerative disease	Designated	Not FDA Approved for Orphan Indication	Ocugen Inc.
itolizumab		2/5/2019	Prevention of acute graft versus host disease	Designated	Not FDA Approved for Orphan Indication	"Equillium, Inc."
pegcetacoplan		2/1/2019	Treatment of autoimmune hemolytic anemia	Designated	Not FDA Approved for Orphan Indication	"Apellis Pharmaceuticals, Inc."
ketamine		2/1/2019	Treatment of Complex Regional Pain Syndrome	Designated	Not FDA Approved for Orphan Indication	"Bexson Biomedical, Inc."
rozanolixizumab-noli	Rystiggo	2/1/2019	Treatment of myasthenia gravis	Designated/Approved		"UCB, Inc."
nivolumab		2/1/2019	Treatment of primary mediastinal B-cell lymphoma.	Designated	Not FDA Approved for Orphan Indication	Bristol-Myers Squibb Company
ciltacabtagene autoleucel	Carvykti	2/1/2019	Treatment of multiple myeloma (MM)	Designated/Approved		"Janssen Research & Development, LLC"
recombinant adeno-associated viral (AAV) vector that contains a bio-engineered capsid (AAV-Spark100) and a codon-optimized expression cassette to drive expression of a secretable form of human acid a-glucosidase (GAA)		2/1/2019	Treatment of Pompe Disease	Designated	Not FDA Approved for Orphan Indication	"Spark Therapeutics, Inc."
budesonide		2/1/2019	Treatment of Autoimmune Hepatitis	Designated	Not FDA Approved for Orphan Indication	Calliditas Therapeutics AB
autologous genetically engineered T cells that express a single-domain antibody that recognizes human mesothelin fused to the cluster of differentiation 3e subunit of the T cell receptor		2/1/2019	Treatment of mesothelioma	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"TCR2 Therapeutics, Inc., a wholly owned subsidiary of Adaptimmune Therapeutics plc"
(E)-3-(6-Bromo-pyridin-2-yl)-2-cyano-N-((S)-1-phenyl-ethyl)-acryl amide		2/1/2019	Treatment of glioblastoma	Designated	Not FDA Approved for Orphan Indication	"Moleculin Biotech, Inc."
benralizumab		2/1/2019	Treatment of hypereosinophilic syndrome	Designated	Not FDA Approved for Orphan Indication	AstraZeneca Pharmaceuticals LP
Adeno-associated virus serotype 9 vector containing the human lysosome-associated membrane glycoprotein 2 isoform B transgene (AAV9.LAMP2B)		2/1/2019	Treatment of Danon Disease	Designated	Not FDA Approved for Orphan Indication	"Rocket Pharmaceuticals, Inc."
motixafortide		2/1/2019	Treatment of pancreatic cancer	Designated	Not FDA Approved for Orphan Indication	"BioLineRx, Ltd."
efgartigimod		2/1/2019	Treatment of Primary Immune Thrombocytopenia (ITP)	Designated	Not FDA Approved for Orphan Indication	argenx BVBA
itolizumab		2/1/2019	Treatment of acute graft versus host disease	Designated	Not FDA Approved for Orphan Indication	"Equillium, Inc."
autologous adult bone marrow-derived and unexpanded CD133+ hematopoietic stem cells (CD133+ BMDSCs) mobilized from peripheral blood (PB)		2/1/2019	Treatment of women with infertility and a thin endometrium seeking pregnancy	Designated	Not FDA Approved for Orphan Indication	Asherman Therapy S.L.U.
ciltacabtagene autoleucel	Carvykti	2/1/2019	Treatment of multiple myeloma (MM)	Designated/Approved		"Janssen Research & Development, LLC"
Fully human immunoglobulin G1 monoclonal antibody that targets CD32b		1/29/2019	Treatment of mantle cell lymphoma	Designated	Not FDA Approved for Orphan Indication	BioInvent International AB
Losartan		1/29/2019	Treatment of epidermolysis bullosa	Designated	Not FDA Approved for Orphan Indication	Crowd Pharma Losartan GmbH & Co. KG
"5,7-Dichloro-2-((ethylamino)methyl)-8-hydroxy-3-methylquinazolin-4(3H)-one mesylate"		1/29/2019	Treatment of multiple system atrophy	Designated	Not FDA Approved for Orphan Indication	"Alterity Therapeutics, Limited"
delta-9-tetrahydrocannabinol and cannabidiol		1/29/2019	Treatment of Huntington's Disease	Designated	Not FDA Approved for Orphan Indication	MMJ International Holdings
certepetide		1/29/2019	Treatment of pancreatic cancer	Designated	Not FDA Approved for Orphan Indication	"Lisata Therapeutics, Inc."
clofarabine		1/24/2019	Treatment of acute myeloid leukemia	Designated	Not FDA Approved for Orphan Indication	"Boyen Therapeutics, Inc."
fosmanogepix		1/22/2019	Treatment of cryptococcosis	Designated	Not FDA Approved for Orphan Indication	"Basilea Pharmaceutica Ltd, Allschwil"
Human IgG1 monoclonal antibody to human CD38		1/22/2019	Treatment of multiple myeloma	Designated	Not FDA Approved for Orphan Indication	"Takeda Development Center Americas, Inc."
recombinant Mitsugumin 53		1/17/2019	Treatment of Duchenne Muscular Dystrophy	Designated	Not FDA Approved for Orphan Indication	"Axolo Pharma, Inc."
ribitol		1/16/2019	Treatment of limb-girdle muscular dystrophy type 2I	Designated	Not FDA Approved for Orphan Indication	"ML Bio Solutions, Inc."
odevixibat		1/16/2019	Treatment of Biliary Atresia	Designated	Not FDA Approved for Orphan Indication	"Ipsen Biopharmaceuticals, Inc."
"N-(bromoacetyl)-3,3-dinitroazetidine"		1/16/2019	Treatment of glioblastoma multiforme	Designated	Not FDA Approved for Orphan Indication	EpicentRx Inc.
tiratricol		1/16/2019	Treatment of Monocarboxylate 8 Transporter (MCT8) Deficiency (Allan-Herndon-Dudley-Syndrome)	Designated	Not FDA Approved for Orphan Indication	Rare Thyroid Therapeutics
adeno-associated viral vector 9-containing the human heparan-alpha-glucosaminide N-acetyltransferase (HGSNAT) gene (AAV9- HGSNAT)		1/16/2019	Treatment of Sanfilippo Syndrome IIIC (also known as Mucopolysaccharidosis IIIC/MPS IIIC)	Designated	Not FDA Approved for Orphan Indication	"Phoenix Nest, Inc."
L-fucose		1/14/2019	Treatment of Congenital Disorder of Glycosylation IIc	Designated	Not FDA Approved for Orphan Indication	"AUG Therapeutics, LLC"
D-mannose		1/14/2019	Treatment of Mannose Phosphate Isomerase Deficiency	Designated	Not FDA Approved for Orphan Indication	"AUG Therapeutics, LLC"
D-Galactose		1/14/2019	Treatment of Phosphoglucomutase 1 Deficiency	Designated	Not FDA Approved for Orphan Indication	"AUG Therapeutics, LLC"
Autotaxin inhibitor		1/14/2019	Treatment of Idiopathic Pulmonary Fibrosis	Designated	Not FDA Approved for Orphan Indication	"Bridge Biotherapeutics, Inc"
cusatuzumab		1/14/2019	Treatment of acute myeloid leukemia	Designated	Not FDA Approved for Orphan Indication	OncoVerity
tarlatamab-dlle	Imdelltra	12/27/2018	Treatment of small cell lung cancer (SCLC)	Designated/Approved		Amgen Inc.
bromelain + acetylcysteine		12/27/2018	Treatment of pseudomyxoma peritonei with Bromelain and Acetylcysteine	Designated	Not FDA Approved for Orphan Indication	MUCPharm Pty Ltd.
apraglutide		12/20/2018	Treatment of short bowel syndrome (SBS)	Designated	Not FDA Approved for Orphan Indication	VectivBio AG
Autologous adult live cultured osteoblasts		12/20/2018	Treatment of osteonecrosis	Designated	Not FDA Approved for Orphan Indication	Regrow Biosciences Pvt. Ltd.
small interfering RNA agent that targets human transforming growth factor-Eszett1 messenger RNA		12/19/2018	Treatment of Idiopathic pulmonary fibrosis	Designated	Not FDA Approved for Orphan Indication	"Toray Industries, Inc."
pegcetacoplan		12/19/2018	Treatment of C3 glomerulopathy	Designated	Not FDA Approved for Orphan Indication	"Apellis Pharmaceuticals, Inc."
iberdomide		12/19/2018	Treatment of multiple myeloma	Designated	Not FDA Approved for Orphan Indication	Celgene Corporation
Synthetic PreImplantation Factor		12/19/2018	Treatment of Acute Radiation Syndrome	Designated	Not FDA Approved for Orphan Indication	"BioIncept, LLC"
conditionally active biologics-anti-ROR2-antibody drug conjugate consisting of a humanized IgG1 antibody specific for ROR2 tyrosine kinase conjugated to a peptide linker coupled with monomethyl auristatin E		12/18/2018	Treatment of soft tissue sarcoma	Designated	Not FDA Approved for Orphan Indication	BioAtla LLC
Fibromun		12/18/2018	Treatment of Soft Tissue Sarcoma	Designated	Not FDA Approved for Orphan Indication	Philogen S.p.A.
ceramide		12/18/2018	Treatment of Acute Myeloid Leukemia	Designated	Not FDA Approved for Orphan Indication	"Keystone Nano, Inc."
"(1S,3S)-3-((2-methyl-6-(1-methyl-5-(((methyl(propyl)carbamoyl)oxy)methyl)-1H-1,2,3-triazol-4-yl)pyridin-3-yl)oxy)cyclohexane-1-carboxylic acid"		12/17/2018	Treatment of Idiopathic Pulmonary Fibrosis	Designated	Not FDA Approved for Orphan Indication	Bristol-Myers Squibb Company
autologous CD34+ cell- enriched population transduced with lentiviral vector encoding the codon-optimized human alpha-galactosidase A complementary deoxyribonucleic acid sequence.		12/17/2018	Treatment of Fabry Disease	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"AVROBIO, Inc."
mosunetuzumab-axgb	Lunsumio	12/17/2018	Treatment of follicular lymphoma	Designated/Approved		"Genentech, Inc."
"15(S)-hydroxy-(5Z,8Z,11Z,13E,17Z)-eicosapentaenoic acid ethyl ester"		12/17/2018	Treatment of idiopathic pulmonary fibrosis	Designated	Not FDA Approved for Orphan Indication	Afimmune
autologous T cells genetically modified to express CD123 specific hinge-optimized CD28-costimulatory chimeric receptor and a truncated human epidermal growth factor receptor		12/17/2018	Treatment of Blastic Plasmacytoid Dendritic Cell Neoplasm	Designated	Not FDA Approved for Orphan Indication	"Mustang Bio, Inc."
CDC-like kinase inhibitor of the Wnt Pathway		12/17/2018	Treatment of pancreatic cancer	Designated	Not FDA Approved for Orphan Indication	"Biosplice Therapeutics, Inc."
poly (lactide-co-glycolide)-polyethylene glycol nanoparticles encapsulating quercetin		12/17/2018	Treatment of glioblastoma	Designated	Not FDA Approved for Orphan Indication	Cancer Research and Life Foundation
venetoclax + idasanutlin		12/17/2018	Treatment of acute myeloid leukemia	Designated	Not FDA Approved for Orphan Indication	Genentech Inc. (A Member of the Roche Group)
"((1r, 4r)-N1-(2-benzyl-7-(2-methyl-2H-tetrazol-5-yl)-9H-pyrimido[4,5-b]indol-4-yl)cyclohexane-1,4-diamine dihydrobromide dihydrate)-Expanded cord blood"		12/13/2018	Prevention of Graft-versus-Host-Disease	Designated	Not FDA Approved for Orphan Indication	ExCellThera Inc.
"5-(3,5-Dimethyl-4-hydroxybenzylamino)-3-(4-morpholin-4-yl-phenylamino)-1H-pyrazole-4-carboxylic acid amide"		12/7/2018	Treatment of Idiopathic Pulmonary Fibrosis	Designated	Not FDA Approved for Orphan Indication	Metagone Biotech Inc.
transforming growth factor beta trap/anti-programmed death ligand-1 antibody bifunctional fusion protein		12/7/2018	Treatment of biliary tract cancer	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"EMD Serono Research & Development Institute, Inc."
"99mTc-HYNIC-[D-Phe1,Tyr3-Octreotide] trifluoroacetate"		12/5/2018	Diagnostic for the management of neuroendocrine tumors	Designated	Not FDA Approved for Orphan Indication	Narodowe Centrum Badan Jadrowych
(+)-alpha-dihydrotetrabenazine		12/5/2018	Treatment of Huntington's disease.	Designated	Not FDA Approved for Orphan Indication	"Adeptio Pharmaceuticals, Ltd"
messenger ribonucleic acid-based therapeutic agent encoding human propionyl-CoA carboxylase alpha and beta subunits		12/5/2018	Treatment of propionic acidemia.	Designated	Not FDA Approved for Orphan Indication	"Moderna Therapeutics, Inc."
"self-complementary non-replicating, recombinant adeno-associated virus serotype rhesus 74 expressing the human alpha-sarcoglycan gene under a triple E-box muscle creatine kinase muscle specific promoter (scAAVrh74.tMCK.hSGCA)"		12/5/2018	Treatment of limb girdle muscular dystrophy Type 2D	Designated	Not FDA Approved for Orphan Indication	Sarepta Therapeutics
recombinant human interleukin 12		12/5/2018	Treatment of pancreatic cancer	Designated	Not FDA Approved for Orphan Indication	TherapyX Inc.
"(1S, 4R, 5R, 7S)-3, 4-dibenzyl-2-oxo-6, 8-dioxa- 3-azabyciclo [3.2.1] octane-7-carboxylic acid-L-lysine"		11/30/2018	Treatment of Neurotrophic keratopathy	Designated	Not FDA Approved for Orphan Indication	"Recordati Rare Diseases, SARL"
doranidazole		11/30/2018	radiosensitizer to be used during radiation treatment of pancreatic cancer	Designated	Not FDA Approved for Orphan Indication	"Shuttle Pharmaceuticals, Inc."
povidone iodine		11/30/2018	Treatment of Endophthalmitis	Designated	Not FDA Approved for Orphan Indication	Cumulus Pharmaceutical LLC
recombinant adeno-associated virus vector containing DNA encoding INT41 intrabody		11/30/2018	Treatment of Huntington’s Disease	Designated	Not FDA Approved for Orphan Indication	Vybion Inc.
benralizumab		11/21/2018	Treatment of eosinophilic granulomatosis with polyangiitis	Designated	Not FDA Approved for Orphan Indication	AstraZeneca Pharmaceuticals LP
terlipressin		11/21/2018	Treatment of hepatorenal syndrome	Designated	Not FDA Approved for Orphan Indication	BioVie Inc.
recombinant adeno-associated virus (AAV) vector based on the AAV serotype hu37 containing a single stranded DNA genome encoding a form of human Factor VIII		11/20/2018	Treatment of Hemophilia A	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Bayer HealthCare LLC
